All Tables
Month,yyyy,ics_all,ics_inc31,ics_inc32,ics_inc33,ics_a1834,ics_a3554,ics_a5597,ics_ne,ics_nc,ics_s,ics_w,icc_all,ice_all,pago_f_all,pago_s_all,pago_u_all,pago_dk_all,pago_r_all,pagorn_hy_all,pagorn_ha_all,pagorn_ld_all,pagorn_ly_all,pagorn_hp_all,pagorn_la_all,pagorn_hd_all,pagorn_ny_all,pagorn_nad_all,pexp_f_all,pexp_s_all,pexp_u_all,pexp_dk_all,pexp_r_all,ptrd_bb_all,ptrd_bs_all,ptrd_ss_all,ptrd_ws_all,ptrd_ww_all,ptrd_bw_all,ptrd_dk_all,ptrd_r_all,pago5_f_all,pago5_s_all,pago5_u_all,pago5_dk_all,pago5_r_all,pexp5_f_all,pexp5_s_all,pexp5_u_all,pexp5_dk_all,pexp5_r_all,ptrd5_bb_all,ptrd5_bs_all,ptrd5_ss_all,ptrd5_ws_all,ptrd5_ww_all,ptrd5_bw_all,ptrd5_dk_all,ptrd5_r_all,inex_dwn_all,inex_0_all,inex_12_all,inex_34_all,inex_5_all,inex_69_all,inex_125_all,inex_25p_all,inex_dkup_all,inex_dk_all,inex_med_all,inex_r_all,rinc_f_all,rinc_s_all,rinc_u_all,rinc_dk_all,rinc_r_all,pinc2_0_all,pinc2_0124_all,pinc2_2549_all,pinc2_50_all,pinc2_5174_all,pinc2_7599_all,pinc2_100_all,pinc2_dk_all,pinc2_mean_all,pinc_0_all,pinc_0124_all,pinc_2549_all,pinc_50_all,pinc_5174_all,pinc_7599_all,pinc_100_all,pinc_dk_all,pinc_mean_all,pjob_0_all,pjob_0124_all,pjob_2549_all,pjob_50_all,pjob_5174_all,pjob_7599_all,pjob_100_all,pjob_dk_all,pjob_mean_all,pssa_0_all,pssa_0124_all,pssa_2549_all,pssa_50_all,pssa_5174_all,pssa_7599_all,pssa_100_all,pssa_dk_all,pssa_mean_all,pcry_f_all,pcry_s_all,pcry_u_all,pcry_dk_all,pcry_r_all,pstk_0_all,pstk_0124_all,pstk_2549_all,pstk_50_all,pstk_5174_all,pstk_7599_all,pstk_100_all,pstk_dk_all,pstk_mean_all,inv_9_all,inv_24_all,inv_49_all,inv_99_all,inv_199_all,inv_499_all,inv_500_all,inv_dk_all,inv_md_all,inv_p25_all,inv_p75_all,inv_r50_all,hmv_99_all,hmv_199_all,hmv_299_all,hmv_399_all,hmv_499_all,hmv_500_all,hmv_dk_all,hmv_md_all,hmv_p25_all,hmv_p75_all,hmv_r50_all,news_f_all,news_u_all,news_n_all,news_r_all,newsrn_f_govt_all,newsrn_f_emp_all,newsrn_f_dem_all,newsrn_f_pri_all,newsrn_f_cred_all,newsrn_f_stk_all,newsrn_f_trd_all,newsrn_u_govt_all,newsrn_u_emp_all,newsrn_u_dem_all,newsrn_u_pri_all,newsrn_u_cred_all,newsrn_u_eng_all,newsrn_u_stk_all,newsrn_u_trd_all,newsrn_np_all,newsrn_ne_all,newsrn_ng_all,bago_f_all,bago_s_all,bago_u_all,bago_dk_all,bago_r_all,bexp_f_all,bexp_s_all,bexp_u_all,bexp_dk_all,bexp_r_all,btrd_bb_all,btrd_bs_all,btrd_ss_all,btrd_ws_all,btrd_ww_all,btrd_bw_all,btrd_dk_all,btrd_r_all,bus12_f_all,bus12_s_all,bus12_u_all,bus12_dk_all,bus12_na_all,bus12_r_all,bus5_f_all,bus5_s_all,bus5_u_all,bus5_na_all,bus5_r_all,umex_f_all,umex_s_all,umex_u_all,umex_dk_all,umex_r_all,ratex_f_all,ratex_s_all,ratex_u_all,ratex_dk_all,ratex_r_all,px1_dwn_all,px1_0_all,px1_12_all,px1_34_all,px1_5_all,px1_69_all,px1_1014_all,px1_15p_all,px1_dkup_all,px1_dk_all,px1_mean_all,px1_var_all,px1_med_all,px1_std_all,px1_p25_all,px1_p75_all,px1_r50_all,px5_dwn_all,px5_0_all,px5_12_all,px5_34_all,px5_5_all,px5_69_all,px5_1014_all,px5_15p_all,px5_dkup_all,px5_dk_all,px5_mean_all,px5_var_all,px5_std_all,px5_med_all,px5_p25_all,px5_p75_all,px5_r50_all,govt_f_all,govt_s_all,govt_u_all,govt_dk_all,govt_r_all,dur_f_all,dur_s_all,dur_u_all,dur_r_all,durrn_lp_all,durrn_biap_all,durrn_lr_all,durrn_biar_all,durrn_gt_all,durrn_hp_all,durrn_hr_all,durrn_tb_all,durrn_fb_all,durrn_np_all,durrn_nr_all,durrn_nt_all,veh_f_all,veh_s_all,veh_u_all,veh_r_all,vehrn_lp_all,vehrn_biap_all,vehrn_lr_all,vehrn_biar_all,vehrn_gt_all,vehrn_mpg_all,vehrn_hp_all,vehrn_hr_all,vehrn_tb_all,vehrn_fb_all,vehrn_gas_all,vehrn_sel_all,vehrn_np_all,vehrn_nr_all,gas1px_f_all,gas1px_s_all,gas1px_u_all,gas1px_dk_all,gas1px_md_all,gas1px_mean_all,gas5px_f_all,gas5px_s_all,gas5px_u_all,gas5px_dk_all,gas5px_md_all,gas5px_mean_all,hom_f_all,hom_s_all,hom_u_all,hom_r_all,homrn_lp_all,homrn_biap_all,homrn_lr_all,homrn_biar_all,homrn_inv_all,homrn_gt_all,homrn_hp_all,homrn_hr_all,homrn_tb_all,homrn_fb_all,homrn_cd_all,homrn_np_all,homrn_nr_all,homrn_nt_all,homrn_ni_all,shom_f_all,shom_s_all,shom_u_all,shom_r_all,shomrn_hp_all,shomrn_siap_all,shomrn_lr_all,shomrn_siar_all,shomrn_gt_all,shomrn_inv_all,shomrn_lp_all,shomrn_hr_all,shomrn_tb_all,shomrn_fb_all,shomrn_cd_all,shomrn_np_all,shomrn_nr_all,shomrn_nt_all,shomrn_ni_all,homval_f_all,homval_s_all,homval_u_all,homval_dk_all,homval_r_all,hompx1_f_all,hompx1_s_all,hompx1_u_all,hompx1_dk_all,hompx1_mean_all,hompx1_md_all,hompx1_var_all,hompx1_p25_all,hompx1_p75_all,hompx1_r50_all,hompx5_f_all,hompx5_s_all,hompx5_u_all,hompx5_dk_all,hompx5_mean_all,hompx5_md_all,hompx5_var_all,hompx5_p25_all,hompx5_p75_all,hompx5_r50_all,
1,1978,83.7,,,,93.7,86.7,75,84.1,85.5,81.3,83.7,96.2,75.7,35,35,30,0,105,31,2,3,18,22,1,2,13,2,32,47,18,3,114,16,22,20,19,8,11,4,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,43,43,3,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,32,57,94,2,11,4,1,0,1,0,3,9,1,5,1,0,4,1,-4,2,-1,46,20,29,5,117,26,53,18,3,108,17,27,14,15,11,9,7,118,44,10,38,6,2,106,29,17,49,5,80,20,48,30,2,90,9,31,54,6,55,2,13,8,11,15,17,10,3,21,0,6.1,31,5.2,5.6,3,7.8,4.8,,,,,,,,,,,,,,,,,,16,56,23,5,93,66,10,24,142,24,39,1,0,2,13,4,8,2,11,-3,-8,48,17,35,113,,,,,,,,,,,,,,,,,,,,,,,,,,,55,7,38,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1978,84.3,,,,99.7,82.3,77.1,83,81.9,81.6,94.2,95.4,77.2,33,39,27,1,106,29,2,2,17,24,1,1,12,2,26,51,17,6,109,13,26,21,18,9,7,6,112,,,,,,,,,,,,,,,,,,,11,33,2,3,7,9,13,5,12,5,0.9,140,14,42,37,7,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,44,48,78,2,10,2,1,0,2,0,3,11,3,6,2,1,2,1,-5,-1,-1,44,19,34,3,110,27,53,16,4,111,17,27,12,19,10,9,6,115,42,8,34,10,6,108,29,20,40,11,89,30,41,24,5,106,6,32,48,14,58,1,11,6,9,14,16,11,10,19,3,8.5,72,6.4,8.5,4.1,10,5.9,,,,,,,,,,,,,,,,,,12,58,26,4,86,58,23,19,139,21,29,0,0,2,13,1,2,2,8,-1,-2,45,22,33,112,10,25,0,1,1,3,22,1,2,2,3,7,-12,-1,,,,,,,,,,,,,55,12,33,122,3,36,2,5,11,1,27,9,4,1,0,-24,-7,-4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1978,78.8,,,,91.7,76.8,68.8,78.7,76.7,79.7,79.6,93.2,69.5,35,29,35,1,100,28,3,2,17,24,1,1,11,3,25,52,18,5,107,13,24,17,19,11,10,6,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,40,47,3,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,53,50,60,1,6,1,0,0,0,0,4,12,2,5,2,2,3,4,-5,-6,-3,39,15,43,3,96,20,54,23,3,97,10,24,11,22,14,13,6,98,37,7,46,4,6,91,26,20,50,4,76,14,52,31,3,83,4,34,55,7,49,0,11,7,11,10,19,14,5,21,2,7.5,51,6.3,7.2,3.3,9.7,6.3,,,,,,,,,,,,,,,,,,10,57,28,5,82,63,14,23,140,15,42,1,1,5,15,2,7,2,0,-1,-4,55,13,32,123,12,34,0,2,2,3,20,2,4,1,1,8,-8,-2,,,,,,,,,,,,,59,10,31,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1978,81.6,,,,91.8,79.7,74,82.5,80.9,81.6,81.6,98,71.1,39,25,35,1,104,30,4,3,16,25,0,1,14,6,31,47,19,3,112,17,24,14,18,11,12,4,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,41,44,4,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,42,50,80,2,9,1,0,0,1,0,5,7,2,10,1,0,2,4,-10,2,-3,43,16,36,5,107,24,51,21,4,103,15,25,10,19,13,11,7,108,40,6,41,8,5,99,23,15,52,10,71,17,56,25,2,92,4,29,61,6,43,1,6,6,7,12,26,12,5,23,2,8,56,6.7,7.5,4.7,9.5,4.8,,,,,,,,,,,,,,,,,,9,54,34,3,75,67,14,19,148,13,48,1,2,5,14,3,4,1,-1,-2,0,51,17,32,119,7,36,1,1,3,3,22,2,3,0,2,10,-15,-1,,,,,,,,,,,,,60,9,31,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1978,82.9,,,,95.1,78.9,74.5,79.7,81.5,84.3,86.4,98.2,73,36,32,31,1,105,31,3,3,18,27,1,0,13,5,28,52,17,3,111,16,23,20,20,9,9,3,110,,,,,,,,,,,,,,,,,,,7,25,5,3,9,13,16,8,9,5,4.7,156,14,36,44,6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,42,46,89,2,11,2,1,0,5,1,4,10,1,11,2,1,1,3,-10,1,-2,47,17,33,3,114,20,56,21,3,99,15,28,10,21,11,9,6,111,43,5,44,5,3,99,26,18,47,9,79,23,45,26,6,97,7,29,57,7,50,2,11,6,12,10,16,16,10,15,2,8.9,92,6.9,9.6,3.3,10.1,6.8,,,,,,,,,,,,,,,,,,13,56,28,3,85,63,21,16,147,19,31,0,1,5,14,1,1,1,5,-1,3,50,18,32,118,6,33,1,1,3,3,23,3,2,0,1,8,-17,-2,,,,,,,,,,,,,56,9,35,121,3,37,2,7,10,1,28,11,4,2,0,-25,-9,-5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1978,80,,,,91.7,75.7,72.4,76.5,79.6,79.5,85.1,98.4,68.1,38,31,31,0,107,34,1,3,15,36,1,1,19,2,25,50,23,2,102,15,20,21,19,11,12,2,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,41,44,4,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,45,49,77,3,8,2,0,0,2,0,4,10,2,9,5,0,0,2,-9,-2,-1,48,14,36,2,112,19,54,25,2,94,12,33,8,18,16,10,3,111,42,5,45,5,3,97,25,14,54,7,71,8,51,39,2,69,5,28,64,3,41,3,10,5,10,12,20,14,8,17,1,8,63,6.5,7.9,3.8,9.8,6.1,,,,,,,,,,,,,,,,,,9,55,33,3,76,66,14,20,146,12,48,2,2,6,17,4,3,2,-5,-2,1,53,14,33,120,7,39,1,1,4,3,24,4,1,1,1,11,-17,-3,,,,,,,,,,,,,58,6,36,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1978,82.4,,,,92.2,78.4,77.4,85.4,78.2,78.8,91,98.7,72,38,31,30,1,108,35,3,5,14,34,2,1,21,5,27,53,16,4,111,14,28,18,18,9,8,5,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,42,47,2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,42,47,82,3,10,2,1,0,1,0,5,11,1,11,4,1,0,3,-10,-1,-2,51,15,29,5,122,20,56,20,4,100,15,32,10,18,11,8,6,118,45,6,40,6,3,105,23,19,54,4,69,12,53,32,3,80,6,23,66,5,40,3,9,7,8,14,17,18,6,17,1,7.6,53,6.6,7.3,3.5,9.9,6.4,,,,,,,,,,,,,,,,,,10,55,31,4,79,67,12,21,146,11,52,1,4,6,18,4,3,1,-7,-3,2,52,15,33,119,8,43,1,2,3,2,25,3,2,1,1,11,-17,-2,,,,,,,,,,,,,54,10,36,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1978,78.4,,,,87.8,77.2,69.8,78.7,80.4,77.6,76.2,96.1,67,35,31,34,0,101,34,4,6,13,34,1,2,21,7,31,47,19,3,112,15,24,18,17,12,11,3,110,,,,,,,,,,,,,,,,,,,9,26,2,3,10,11,18,8,10,3,4.8,153,14,38,44,4,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,45,49,77,2,7,2,1,1,2,0,5,11,2,10,4,0,1,6,-9,-4,-3,46,13,39,2,107,17,55,26,2,91,13,26,9,22,15,11,4,102,33,6,51,5,5,82,24,16,54,6,70,16,48,33,3,83,9,26,59,6,50,2,11,4,8,10,13,21,15,14,2,10.5,102,8.7,10.1,4.7,11.7,7,,,,,,,,,,,,,,,,,,9,52,36,3,73,62,21,17,145,17,35,1,2,2,16,3,1,1,1,-2,0,40,18,42,98,5,28,1,1,2,2,32,5,2,1,1,11,-27,-4,,,,,,,,,,,,,50,11,39,111,2,35,1,8,14,1,34,20,2,2,0,-32,-19,-3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1978,80.4,,,,86.6,83.9,72.1,80.1,77.8,80.3,85.6,96.9,69.8,40,28,31,1,109,35,3,3,13,27,1,1,22,4,26,52,17,5,109,18,22,18,20,10,6,6,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,36,49,4,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,38,54,83,3,8,2,2,0,1,0,6,7,1,8,5,1,1,3,-6,1,-3,42,17,36,5,106,19,55,23,3,96,14,23,11,22,12,10,8,103,40,5,44,8,3,96,24,15,53,8,71,15,52,31,2,84,5,23,67,5,38,1,12,5,8,10,21,14,9,18,2,8.5,68,6.9,8.3,4.6,10,5.4,,,,,,,,,,,,,,,,,,11,52,34,3,77,62,16,22,140,10,50,1,2,3,14,4,3,2,-4,-3,-2,46,18,36,110,7,34,0,1,2,2,24,2,2,1,1,12,-17,-2,,,,,,,,,,,,,56,8,36,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1978,79.3,,,,90.6,76.7,70.8,82.2,79.9,78.4,77.1,91.2,71.7,33,29,37,1,96,38,3,3,13,33,2,1,25,3,26,46,22,6,104,13,20,17,20,12,12,6,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,38,49,4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,42,54,77,3,7,2,0,0,1,0,4,9,1,10,5,1,2,4,-10,-2,-1,45,20,32,3,113,22,56,19,3,103,14,30,11,20,11,8,6,113,40,9,37,9,5,103,24,20,47,9,77,12,55,30,3,82,6,26,63,5,43,1,9,5,6,10,24,20,5,19,1,7.9,37,7.4,6.1,4.9,10,5.1,,,,,,,,,,,,,,,,,,9,57,30,4,79,62,14,24,138,10,47,0,2,4,19,4,3,1,-9,-4,0,50,14,36,114,4,38,0,2,1,3,24,3,3,1,1,10,-20,-3,,,,,,,,,,,,,54,9,37,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
